Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
"[""Hex2Cer 18:2;O2/18:0"", ""Hex2Cer 18:2;O2/17:1;O""]",888.6308233,262.253474,5.51,1.4,55,Positive
"[""Hex2Cer 18:1;O2/18:0"", ""Hex2Cer 18:1;O2/17:1;O""]",890.6419383,264.269124,8.003125,4.49375,55,Positive
Hex2Cer 18:0;O2/20:4,912.641219,284.295339,5.255,1,55,Positive
"[""Hex2Cer 18:2;O2/20:0"", ""Hex2Cer 18:2;O2/19:1;O""]",916.6707864,262.253474,6.33,1,55,Positive
"[""Hex2Cer 18:1;O2/19:0;O""]",920.667434,264.269124,5.615,1,55,Positive
"[""Hex2Cer 18:1;O2/20:0;O""]",934.683084,264.269124,9.955,1,55,Positive
"[""Hex2Cer 18:1;O2/22:1"", ""Hex2Cer 18:1;O2/21:2;O""]",944.6910629,264.269124,6.81,1,55,Positive
"[""Hex2Cer 16:1;O2/24:1"", ""Hex2Cer 16:1;O2/23:2;O""]",944.7020864,236.237824,6.81,1,55,Positive
"[""Hex2Cer 18:2;O2/22:0"", ""Hex2Cer 18:2;O2/21:1;O""]",944.7020864,262.253474,6.89,1,55,Positive
"[""Hex2Cer 18:0;O3/21:2""]",946.683084,282.279689,7.32,1,55,Positive
SHexCer 18:1;O2/28:1,946.701711,264.269124,5.63,1,50,Positive
"[""Hex2Cer 18:1;O2/22:0"", ""Hex2Cer 18:1;O2/21:1;O""]",946.7177364,264.269124,7.31625,1.0025,55,Positive
"[""Hex2Cer 18:1;O2/23:2""]",956.703819,264.269124,7.77,1,55,Positive
"[""Hex2Cer 18:2;O2/24:2""]",968.703819,262.253474,6.36,1,55,Positive
"[""Hex2Cer 18:1;O2/24:2""]",970.719469,264.269124,6.85,1,55,Positive
"[""Hex2Cer 18:2;O2/24:1""]",970.719469,262.253474,6.8625,1.005,55,Positive
"[""Hex2Cer 18:1;O2/24:1"", ""Hex2Cer 18:1;O2/23:2;O""]",972.7223629,264.269124,7.275,1.01,55,Positive
"[""Hex2Cer 18:2;O2/24:0"", ""Hex2Cer 18:2;O2/23:1;O""]",972.7223629,262.253474,7.37,1,55,Positive
"[""Hex2Cer 18:0;O3/23:2""]",974.714384,282.279689,7.785,1,55,Positive
"[""Hex2Cer 18:1;O2/24:0"", ""Hex2Cer 18:1;O2/23:1;O""]",974.7380129,264.269124,7.78125,1.0075,55,Positive
Hex2Cer 18:0;O3/24:3,986.714384,282.279689,7.155,1,55,Positive
"[""Hex2Cer 18:0;O3/24:2""]",988.730034,282.279689,7.33,1,55,Positive
"[""Hex2Cer 18:0;O3/24:1""]",990.745684,282.279689,7.695,1,55,Positive
"[""Hex3Cer 16:1;O2/16:0""]",996.647094,236.237824,4.51,1,65,Positive
Hex3Cer 18:1;O2/14:0,996.647094,264.269124,4.51,1,65,Positive
"[""Hex2Cer 18:1;O2/26:0"", ""Hex2Cer 18:1;O2/25:1;O""]",1002.780336,264.269124,8.225,1,55,Positive
"[""Hex3Cer 18:1;O2/15:2""]",1006.631444,264.269124,5.34125,1,65,Positive
"[""Hex3Cer 18:1;O2/15:1"", ""Hex3Cer 18:1;O2/14:2;O""]",1008.645361,264.269124,5.39,1,65,Positive
SHexHexCer 17:1;O2/22:1,1010.644986,250.253474,4.9025,1,60,Positive
"[""Hex3Cer 17:1;O2/16:0"", ""Hex3Cer 17:1;O2/15:1;O""]",1010.661011,250.253474,4.95,1,65,Positive
"[""Hex3Cer 18:0;O3/14:0""]",1014.657659,282.279689,7.4125,1.155,65,Positive
"[""Hex3Cer 18:2;O2/15:1;O"", ""Hex3Cer 18:2;O2/16:0""]",1022.638964,262.253474,4.67,1,65,Positive
"[""Hex3Cer 18:0;O3/15:2""]",1024.642009,282.279689,5.21125,1.2725,65,Positive
"[""Hex3Cer 18:1;O2/16:0"", ""Hex3Cer 18:1;O2/15:1;O""]",1024.662367,264.269124,5.190694444,1.301388889,65,Positive
"[""Hex3Cer 16:1;O2/18:0"", ""Hex3Cer 16:1;O2/17:1;O""]",1024.665638,236.237824,5.345,1,65,Positive
"[""Hex3Cer 18:1;O/15:0;O2""]",1026.657659,266.284774,5.335,1,65,Positive
"[""Hex3Cer 16:1;O2/17:0;O""]",1026.657659,236.237824,7.975,1,65,Positive
"[""Hex3Cer 18:0;O2/15:1;O"", ""Hex3Cer 18:0;O2/16:0""]",1026.65845,284.295339,5.62625,1.0075,65,Positive
"[""Hex2Cer 18:1;O/28:2;O""]",1026.782069,266.284774,5.335,1,55,Positive
"[""Hex2Cer 16:1;O2/30:2""]",1026.782069,236.237824,7.975,1,55,Positive
"[""Hex3Cer 18:1;O2/16:2;O"", ""Hex3Cer 18:1;O2/17:1""]",1036.643591,264.269124,9.995,1,65,Positive
"[""Hex3Cer 18:0;O3/17:2""]",1052.673309,282.279689,6.07,1,65,Positive
"[""Hex3Cer 18:1;O2/18:0"", ""Hex3Cer 18:1;O2/17:1;O""]",1052.696938,264.269124,6.022083333,1.009166667,65,Positive
"[""Hex3Cer 18:0;O2/18:0"", ""Hex3Cer 18:0;O2/17:1;O""]",1054.712588,284.295339,0.69,1,65,Positive
HexNAcHex2Cer 18:1;O2/17:3,1073.673643,264.269124,6.875,1,40,Positive
Hex3Cer 18:1;O2/20:3,1074.694044,264.269124,9.75,1,65,Positive
HexNAcHex2Cer 18:0;O2/17:3,1075.689293,284.295339,6.875,1,40,Positive
"[""Hex3Cer 18:2;O2/20:0"", ""Hex3Cer 18:2;O2/19:1;O""]",1078.723611,262.253474,6.1,1,65,Positive
"[""Hex3Cer 18:2;O2/22:0"", ""Hex3Cer 18:2;O2/21:1;O""]",1106.754911,262.253474,6.6875,1,65,Positive
Hex3Cer 18:0;O3/21:2,1108.735909,282.279689,7.15,1,65,Positive
"[""Hex3Cer 18:1;O2/22:0"", ""Hex3Cer 18:1;O2/21:1;O""]",1108.760685,264.269124,7.295,1.32,65,Positive
